StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id
940GZZLUASL,tube,piccadilly,940GZZLUASL,Arsenal,2,,True,,False,,,,,
940GZZLUBBB,tube,district,940GZZLUBBB,Bromley-by-Bow,2|3,,True,,False,,,,,
940GZZLUBBB,tube,hammersmith-city,940GZZLUBBB,Bromley-by-Bow,2|3,,True,,False,,,,,
940GZZLUBBN,tube,circle,940GZZLUBBN,Barbican,1,,True,,False,,,,,
940GZZLUBBN,tube,hammersmith-city,940GZZLUBBN,Barbican,1,,True,,False,,,,,
940GZZLUBBN,tube,metropolitan,940GZZLUBBN,Barbican,1,,True,,False,,,,,
940GZZLUBDS,tube,piccadilly,940GZZLUBDS,Bounds Green,3|4,,True,,False,,,,,
940GZZLUBEC,tube,district,940GZZLUBEC,Becontree,5,,True,,False,,940GZZLUBEC,FALSE,False,1.0
940GZZLUBEC,tube,district,940GZZLUBEC,Becontree,5,,True,,False,,940GZZLUBEC,FALSE,False,2.0
940GZZLUBKE,tube,central,940GZZLUBKE,Barkingside,4,,True,,True,2.0,940GZZLUBKE,FALSE,False,1.0
940GZZLUBKE,tube,central,940GZZLUBKE,Barkingside,4,,True,,True,2.0,940GZZLUBKE,FALSE,False,2.0
940GZZLUBKH,tube,central,940GZZLUBKH,Buckhurst Hill,5,,True,,True,,940GZZLUBKH,FALSE,False,1.0
940GZZLUBKH,tube,central,940GZZLUBKH,Buckhurst Hill,5,,True,,True,,940GZZLUBKH,FALSE,False,2.0
940GZZLUBLG,tube,central,940GZZLUBLG,Bethnal Green,2,,True,,False,,,,,
940GZZLUBMY,tube,jubilee,940GZZLUBMY,Bermondsey,2,,True,,False,,,,,
940GZZLUBND,tube,central,,,,,,,,,,,,
940GZZLUBND,tube,jubilee,,,,,,,,,,,,
910GBONDST,elizabeth-line,elizabeth,,,,,,,,,,,,
940GZZLUBOR,tube,northern,940GZZLUBOR,Borough,1,,True,,False,,,,,
940GZZLUBOS,tube,piccadilly,940GZZLUBOS,Boston Manor,4,,True,,False,,940GZZLUBOS,FALSE,False,1.0
940GZZLUBOS,tube,piccadilly,940GZZLUBOS,Boston Manor,4,,True,,False,,940GZZLUBOS,FALSE,False,2.0
