PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GDALS-Plat02-SB-london-overground,910GDALS,windrush,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0.0,85.0,,0.0,50.0,,True,,False,,
910GDALS-Plat03-SB-london-overground,910GDALS,windrush,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0.0,85.0,,0.0,50.0,,True,,False,,
910GDALS-Plat04-SB-london-overground,910GDALS,windrush,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0.0,85.0,,0.0,50.0,,True,,False,,
910GDARTFD-Plat01-WB-national-rail,910GDARTFD,national-rail,,,,,,,,False,,True,,
910GDARTFD-Plat02-WB-national-rail,910GDARTFD,national-rail,,,,,,,,False,,True,,
910GDARTFD-Plat03-WB-national-rail,910GDARTFD,national-rail,,,,,,,,False,,True,,
910GDARTFD-Plat04-EB-national-rail,910GDARTFD,national-rail,,,,,,,,False,,True,,
910GDENMRKH-Plat01-WB-london-overground|national-rail,910GDENMRKH,windrush,Clapham Junction,,,,,,,False,,True,,
910GDENMRKH-Plat01-WB-london-overground|national-rail,910GDENMRKH,national-rail,,,,,,,,False,,True,,
910GDENMRKH-Plat02-EB-london-overground|national-rail,910GDENMRKH,windrush,Highbury & Islington,,,,,,,False,,True,,
910GDENMRKH-Plat02-EB-london-overground|national-rail,910GDENMRKH,national-rail,,,,,,,,False,,True,,
910GDENMRKH-Plat03-WB-national-rail,910GDENMRKH,national-rail,,,,,,,,False,,True,,
910GDENMRKH-Plat04-EB-national-rail,910GDENMRKH,national-rail,,,,,,,,False,,True,,
910GDEPTFD-Plat01-WB-national-rail,910GDEPTFD,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GDEPTFD-Plat02-EB-national-rail,910GDEPTFD,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GEDMNGRN-Plat01-SB-london-overground,910GEDMNGRN,weaver,Liverpool Street,,,,,,,False,,True,,
910GEDMNGRN-Plat02-NB-london-overground,910GEDMNGRN,weaver,Enfield Town and Cheshunt,,,,,,,False,,True,,
910GELTR-Plat01-SB-national-rail,910GELTR,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GELTR-Plat02-NB-national-rail,910GELTR,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GELTR-Plat03-SB-national-rail,910GELTR,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GELTR-Plat04-NB-national-rail,910GELTR,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GEMRSPKH-Plat01-EB-london-overground,910GEMRSPKH,liberty,Upminster,,,,,,,False,,True,,
910GEMRSPKH-Plat01-WB-london-overground,910GEMRSPKH,liberty,Romford,,,,,,,False,,True,,
910GENFLDTN-Plat02-SB-london-overground,910GENFLDTN,weaver,Liverpool Street,,,,,,,False,,True,,
910GESTFLDS-Plat01-NB-national-rail,910GESTFLDS,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GESTFLDS-Plat02-SB-national-rail,910GESTFLDS,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GFNCHLYR-Plat01-WB-london-overground,910GFNCHLYR,mildmay,,,,,,,,False,,False,,
910GFNCHLYR-Plat02-EB-london-overground,910GFNCHLYR,mildmay,,,,,,,,False,,False,,
910GFORESTH-Plat01-NB-london-overground|national-rail,910GFORESTH,windrush,Highbury & Islington,,,,,,,False,,True,Use the Devonshire Road entrance for step-free access,
910GFORESTH-Plat01-NB-london-overground|national-rail,910GFORESTH,national-rail,,,,,,,,False,,True,Use the Devonshire Road entrance for step-free access,
